id_team_h,id_team_v,pts_h,pts_v,w_h,w_v
6,4,96,83,1,0
2,26,98,92,1,0
21,16,93,103,0,1
2,12,86,93,0,1
27,1,88,97,0,1
16,13,102,100,1,0
20,6,126,105,1,0
11,20,120,96,1,0
3,2,99,81,1,0
8,1,115,93,1,0
26,12,98,111,0,1
5,15,115,107,1,0
6,26,103,97,1,0
9,10,84,94,0,1
16,11,104,106,0,1
22,7,116,100,1,0
12,16,84,88,0,1
7,25,123,90,1,0
3,12,95,98,0,1
18,28,94,90,1,0
17,9,92,90,1,0
27,29,111,108,1,0
6,26,87,82,1,0
26,28,121,125,0,1
7,20,107,114,0,1
1,14,85,83,1,0
10,13,101,93,1,0
13,5,118,111,1,0
20,11,113,104,1,0
29,1,77,89,0,1
26,30,94,66,1,0
10,26,108,95,1,0
9,12,112,102,1,0
13,3,98,82,1,0
29,5,107,119,0,1
2,10,109,107,1,0
9,5,103,117,0,1
21,9,97,85,1,0
8,28,102,110,0,1
19,21,93,92,1,0
29,20,112,110,1,0
13,5,96,92,1,0
11,20,114,102,1,0
5,21,110,108,1,0
21,12,106,68,1,0
23,16,120,111,1,0
16,1,104,101,1,0
20,21,98,92,1,0
9,21,100,111,0,1
27,7,92,81,1,0
18,19,127,121,1,0
16,18,110,107,1,0
18,5,116,103,1,0
18,19,85,91,0,1
29,1,95,99,0,1
27,5,101,90,1,0
26,1,102,96,1,0
9,6,89,80,1,0
21,19,95,91,1,0
23,1,95,81,1,0
14,15,120,113,1,0
11,14,104,121,0,1
11,2,109,119,0,1
23,14,94,101,0,1
25,10,100,76,1,0
6,10,101,96,1,0
7,5,110,107,1,0
12,21,122,125,0,1
2,11,99,81,1,0
12,29,110,88,1,0
14,12,83,77,1,0
26,6,104,92,1,0
13,26,118,131,0,1
9,10,118,128,0,1
12,18,98,112,0,1
2,16,109,98,1,0
13,14,95,92,1,0
28,15,112,108,1,0
7,28,96,120,0,1
13,12,99,102,0,1
14,9,95,96,0,1
19,13,90,79,1,0
2,6,133,122,1,0
14,7,111,108,1,0
29,13,81,102,0,1
29,12,85,69,1,0
11,19,107,113,0,1
24,13,95,97,0,1
2,12,96,84,1,0
16,29,128,104,1,0
7,9,90,99,0,1
9,1,122,103,1,0
18,26,104,84,1,0
29,28,80,96,0,1
11,21,104,109,0,1
21,5,99,92,1,0
4,10,108,103,1,0
7,21,95,100,0,1
5,21,100,104,0,1
28,2,95,94,1,0
9,11,88,83,1,0
21,13,136,116,1,0
21,18,100,92,1,0
10,21,72,87,0,1
9,3,113,111,1,0
13,29,117,108,1,0
9,21,86,83,1,0
7,1,115,100,1,0
14,1,104,90,1,0
7,2,118,115,1,0
20,7,114,103,1,0
13,27,110,103,1,0
17,15,115,107,1,0
13,18,117,89,1,0
21,8,102,104,0,1
15,18,103,94,1,0
18,26,107,100,1,0
2,3,101,104,0,1
12,1,90,93,0,1
5,4,129,116,1,0
16,9,96,120,0,1
28,18,93,99,0,1
6,14,95,104,0,1
2,16,107,109,0,1
7,20,116,104,1,0
15,14,85,100,0,1
7,12,95,94,1,0
30,11,100,128,0,1
16,21,99,85,1,0
16,27,98,90,1,0
20,5,101,116,0,1
17,12,107,91,1,0
7,28,117,96,1,0
8,20,113,98,1,0
2,26,95,107,0,1
29,3,105,119,0,1
2,1,117,93,1,0
13,25,87,91,0,1
17,2,88,120,0,1
3,23,94,110,0,1
22,21,103,94,1,0
28,29,115,104,1,0
13,23,92,98,0,1
27,29,103,101,1,0
11,20,116,121,0,1
14,11,94,85,1,0
25,22,90,109,0,1
19,16,106,105,1,0
9,1,94,68,1,0
5,16,103,97,1,0
17,22,83,95,0,1
16,5,112,103,1,0
16,12,102,92,1,0
29,5,96,117,0,1
6,21,88,96,0,1
16,2,116,111,1,0
22,9,93,102,0,1
11,2,116,110,1,0
18,3,88,83,1,0
18,13,105,97,1,0
1,5,116,118,0,1
9,16,96,76,1,0
20,6,111,125,0,1
18,19,103,80,1,0
3,21,103,100,1,0
30,3,109,121,0,1
14,5,119,95,1,0
1,6,111,104,1,0
18,2,93,102,0,1
3,9,107,103,1,0
18,19,100,92,1,0
30,16,98,100,0,1
9,21,133,115,1,0
1,13,102,118,0,1
2,10,98,107,0,1
11,12,106,88,1,0
1,10,104,93,1,0
17,5,92,118,0,1
3,28,91,75,1,0
13,23,110,117,0,1
5,28,104,96,1,0
3,11,117,111,1,0
17,24,121,108,1,0
29,2,92,110,0,1
27,23,119,131,0,1
28,16,112,122,0,1
12,21,81,89,0,1
9,16,90,83,1,0
6,11,87,95,0,1
1,13,120,142,0,1
29,24,110,119,0,1
14,29,97,100,0,1
7,19,83,80,1,0
30,3,108,100,1,0
24,2,94,101,0,1
17,13,97,105,0,1
6,17,107,106,1,0
18,13,86,88,0,1
4,10,126,129,0,1
2,5,92,82,1,0
25,16,115,100,1,0
11,29,105,94,1,0
26,21,112,103,1,0
20,4,101,94,1,0
14,7,106,107,0,1
16,29,110,103,1,0
25,18,104,90,1,0
18,23,97,94,1,0
20,29,99,115,0,1
3,13,97,119,0,1
5,26,106,98,1,0
6,8,99,107,0,1
20,7,102,97,1,0
25,19,95,112,0,1
21,27,97,93,1,0
3,28,96,94,1,0
21,5,102,94,1,0
13,30,131,114,1,0
5,11,116,113,1,0
9,23,109,93,1,0
9,1,108,114,0,1
2,16,96,102,0,1
2,16,120,110,1,0
29,2,109,114,0,1
2,28,96,106,0,1
21,29,129,133,0,1
9,16,109,95,1,0
29,1,81,69,1,0
18,29,94,82,1,0
18,10,114,106,1,0
29,2,105,99,1,0
22,11,100,106,0,1
9,3,86,78,1,0
11,30,99,98,1,0
20,11,90,91,0,1
5,9,104,100,1,0
21,16,81,99,0,1
2,13,94,101,0,1
19,3,98,97,1,0
15,29,97,109,0,1
29,2,93,106,0,1
10,5,105,107,0,1
4,26,126,128,0,1
1,9,123,108,1,0
13,2,111,103,1,0
14,19,104,102,1,0
29,19,99,95,1,0
27,6,85,98,0,1
9,7,127,119,1,0
28,11,113,103,1,0
22,10,98,104,0,1
13,21,82,91,0,1
28,22,92,79,1,0
7,20,101,115,0,1
11,1,116,106,1,0
11,21,120,95,1,0
10,26,90,95,0,1
7,20,72,75,0,1
1,14,93,91,1,0
5,12,105,100,1,0
16,21,107,104,1,0
5,18,89,77,1,0
27,3,124,132,0,1
26,6,116,104,1,0
29,17,97,85,1,0
13,16,107,105,1,0
9,4,111,104,1,0
22,25,102,99,1,0
12,28,85,82,1,0
5,25,94,114,0,1
12,18,106,109,0,1
2,17,113,94,1,0
30,11,98,83,1,0
16,11,133,132,1,0
6,4,102,93,1,0
28,16,110,117,0,1
19,5,104,101,1,0
22,7,94,101,0,1
10,17,100,92,1,0
16,30,113,111,1,0
18,29,95,105,0,1
19,13,103,111,0,1
21,14,92,96,0,1
16,9,93,95,0,1
18,25,105,103,1,0
24,1,123,115,1,0
11,20,126,117,1,0
16,29,127,119,1,0
17,20,107,108,0,1
14,6,84,103,0,1
24,14,139,127,1,0
12,6,115,98,1,0
7,30,100,86,1,0
16,2,123,91,1,0
18,26,82,98,0,1
6,27,112,88,1,0
23,8,76,74,1,0
14,23,109,113,0,1
2,17,112,96,1,0
5,13,74,78,0,1
20,28,127,131,0,1
13,18,99,96,1,0
24,27,88,94,0,1
7,30,86,104,0,1
3,16,108,106,1,0
6,1,101,105,0,1
5,28,88,102,0,1
19,13,93,88,1,0
29,20,97,98,0,1
3,9,98,99,0,1
25,30,96,101,0,1
5,3,85,92,0,1
9,5,108,117,0,1
3,20,106,107,0,1
26,9,99,86,1,0
22,6,139,81,1,0
3,17,76,102,0,1
29,25,116,120,0,1
20,28,105,91,1,0
10,21,96,110,0,1
6,20,121,117,1,0
16,2,112,89,1,0
20,5,121,133,0,1
5,16,83,94,0,1
17,28,101,76,1,0
6,4,127,123,1,0
3,22,112,96,1,0
13,19,110,102,1,0
8,9,107,108,0,1
13,1,114,96,1,0
7,20,101,121,0,1
2,29,121,110,1,0
11,25,108,103,1,0
30,5,101,91,1,0
14,18,83,94,0,1
27,29,74,96,0,1
2,28,112,101,1,0
6,2,108,100,1,0
12,28,106,83,1,0
6,28,123,108,1,0
9,11,115,110,1,0
16,17,85,78,1,0
6,20,107,97,1,0
16,3,115,113,1,0
13,29,136,119,1,0
30,10,102,87,1,0
29,18,113,109,1,0
5,28,103,101,1,0
1,16,107,114,0,1
5,17,124,113,1,0
4,25,116,125,0,1
23,2,105,102,1,0
3,22,97,90,1,0
1,29,95,98,0,1
2,26,114,106,1,0
6,21,94,101,0,1
23,3,101,93,1,0
22,6,107,119,0,1
8,24,112,80,1,0
14,7,85,100,0,1
13,5,90,113,0,1
23,14,92,80,1,0
14,20,91,101,0,1
20,12,113,117,0,1
29,24,107,114,0,1
1,2,103,98,1,0
25,7,98,96,1,0
9,3,112,109,1,0
16,29,104,100,1,0
30,8,98,90,1,0
20,29,103,108,0,1
9,26,124,116,1,0
28,16,96,102,0,1
2,25,100,64,1,0
19,2,103,114,0,1
29,11,76,84,0,1
5,20,102,97,1,0
2,16,99,83,1,0
23,20,95,100,0,1
21,7,117,97,1,0
30,13,102,99,1,0
26,20,92,73,1,0
12,17,113,92,1,0
18,3,92,102,0,1
28,2,109,89,1,0
24,30,116,99,1,0
14,9,89,94,0,1
10,20,116,98,1,0
5,18,110,105,1,0
23,7,120,111,1,0
1,27,95,76,1,0
3,1,98,90,1,0
21,12,119,95,1,0
16,3,89,92,0,1
11,1,101,87,1,0
16,13,86,94,0,1
2,9,98,85,1,0
10,21,95,99,0,1
6,22,104,86,1,0
10,5,98,104,0,1
13,9,128,121,1,0
18,21,98,107,0,1
2,5,104,96,1,0
26,20,125,92,1,0
30,1,83,97,0,1
21,3,117,106,1,0
14,30,95,104,0,1
22,8,83,90,0,1
29,16,103,97,1,0
25,13,97,96,1,0
21,12,100,107,0,1
12,9,109,77,1,0
6,22,104,90,1,0
10,11,85,108,0,1
16,19,85,78,1,0
20,29,103,102,1,0
29,1,103,114,0,1
18,3,99,111,0,1
5,20,130,96,1,0
