id_team_h,id_team_v,pts_h,pts_v,w_h,w_v
13,20,123,118,1,0
22,30,104,97,1,0
23,28,93,80,1,0
20,8,102,91,1,0
28,16,73,83,0,1
22,21,128,116,1,0
17,8,112,133,0,1
16,9,126,121,1,0
27,26,91,89,1,0
18,17,115,121,0,1
17,19,86,84,1,0
19,6,106,87,1,0
30,29,116,98,1,0
19,18,69,88,0,1
18,16,106,108,0,1
12,20,91,117,0,1
26,14,98,92,1,0
2,6,110,101,1,0
16,28,108,111,0,1
21,7,106,98,1,0
13,30,102,100,1,0
24,10,94,109,0,1
11,1,107,113,0,1
29,22,127,106,1,0
18,9,111,112,0,1
3,10,108,110,0,1
6,7,90,81,1,0
22,15,111,109,1,0
26,18,110,86,1,0
16,7,121,112,1,0
18,28,85,87,0,1
16,17,90,105,0,1
2,7,148,140,1,0
5,7,94,92,1,0
25,16,82,93,0,1
5,7,84,100,0,1
7,10,123,98,1,0
5,16,108,88,1,0
2,19,95,98,0,1
11,26,95,86,1,0
21,5,88,93,0,1
26,20,116,88,1,0
16,3,105,82,1,0
27,22,124,117,1,0
20,27,96,102,0,1
13,7,102,109,0,1
20,14,115,107,1,0
11,9,111,96,1,0
26,22,98,91,1,0
17,5,82,90,0,1
10,26,101,97,1,0
17,2,83,91,0,1
22,1,87,91,0,1
14,15,106,122,0,1
7,19,85,99,0,1
5,17,106,115,0,1
30,3,105,112,0,1
11,10,116,114,1,0
6,13,125,102,1,0
30,19,102,87,1,0
9,5,110,97,1,0
4,9,116,122,0,1
2,11,107,94,1,0
4,15,128,113,1,0
16,15,109,116,0,1
20,14,107,100,1,0
2,18,100,97,1,0
5,16,108,81,1,0
29,13,96,94,1,0
8,21,103,97,1,0
5,15,102,105,0,1
17,9,95,100,0,1
17,20,96,106,0,1
7,25,95,86,1,0
11,12,122,105,1,0
26,16,100,89,1,0
18,19,103,94,1,0
30,6,85,93,0,1
6,11,114,98,1,0
10,8,106,102,1,0
16,9,106,114,0,1
10,6,92,103,0,1
7,2,119,99,1,0
9,2,99,103,0,1
11,16,96,87,1,0
14,13,85,95,0,1
6,16,94,128,0,1
3,14,112,79,1,0
20,22,115,107,1,0
13,14,91,97,0,1
10,21,102,98,1,0
5,16,110,102,1,0
25,17,105,94,1,0
18,13,97,103,0,1
12,29,117,108,1,0
16,2,103,92,1,0
30,17,91,80,1,0
14,30,119,92,1,0
19,11,89,100,0,1
16,21,114,118,0,1
21,7,85,102,0,1
5,17,74,83,0,1
18,9,133,102,1,0
10,16,103,95,1,0
11,8,97,90,1,0
18,13,112,96,1,0
6,9,117,114,1,0
28,13,112,94,1,0
1,22,115,112,1,0
17,13,92,98,0,1
27,16,103,95,1,0
11,20,122,115,1,0
12,24,93,115,0,1
25,27,91,88,1,0
11,16,104,79,1,0
1,15,112,114,0,1
23,1,102,100,1,0
9,7,76,82,0,1
27,18,98,92,1,0
6,12,109,104,1,0
20,9,92,89,1,0
5,3,91,101,0,1
7,14,130,108,1,0
14,15,129,109,1,0
3,21,91,99,0,1
7,6,75,71,1,0
11,9,81,97,0,1
29,5,104,98,1,0
24,6,122,102,1,0
18,30,105,96,1,0
18,3,83,86,0,1
6,15,96,113,0,1
7,1,97,74,1,0
5,28,89,94,0,1
28,12,104,118,0,1
17,3,104,90,1,0
18,16,106,113,0,1
6,7,99,86,1,0
9,11,98,99,0,1
12,13,112,99,1,0
6,21,92,110,0,1
20,5,105,118,0,1
22,3,101,108,0,1
21,20,96,93,1,0
10,11,119,107,1,0
29,11,97,94,1,0
21,23,98,93,1,0
2,1,124,105,1,0
20,28,134,106,1,0
5,13,96,92,1,0
10,23,106,101,1,0
13,30,104,101,1,0
17,3,100,108,0,1
17,1,113,81,1,0
20,19,114,119,0,1
20,3,120,101,1,0
6,9,102,101,1,0
30,10,117,122,0,1
22,7,101,85,1,0
26,22,109,102,1,0
14,10,89,85,1,0
21,14,95,99,0,1
28,30,115,110,1,0
6,23,99,94,1,0
3,25,108,100,1,0
29,14,90,94,0,1
6,2,104,94,1,0
11,9,99,95,1,0
5,18,110,107,1,0
26,25,79,94,0,1
2,16,97,95,1,0
18,2,99,105,0,1
22,9,111,115,0,1
20,10,106,107,0,1
20,13,92,77,1,0
22,9,89,92,0,1
2,29,118,121,0,1
29,11,103,115,0,1
28,29,128,126,1,0
15,21,106,96,1,0
16,2,97,105,0,1
30,20,120,106,1,0
1,28,118,98,1,0
6,13,116,101,1,0
12,5,99,104,0,1
4,25,100,107,0,1
25,27,103,82,1,0
28,5,113,90,1,0
3,13,96,103,0,1
13,12,103,93,1,0
11,8,111,91,1,0
29,2,113,124,0,1
10,16,78,74,1,0
11,7,124,121,1,0
13,2,86,77,1,0
3,16,89,92,0,1
6,9,98,110,0,1
18,26,89,74,1,0
11,20,114,107,1,0
1,19,112,93,1,0
2,11,96,100,0,1
18,23,83,77,1,0
21,18,120,110,1,0
20,21,83,105,0,1
5,11,105,107,0,1
2,9,104,106,0,1
27,6,133,104,1,0
5,26,80,92,0,1
18,3,106,98,1,0
13,15,124,118,1,0
4,14,134,139,0,1
14,9,98,112,0,1
17,22,114,111,1,0
20,18,106,93,1,0
11,16,123,112,1,0
17,26,105,87,1,0
27,10,102,96,1,0
29,14,101,112,0,1
6,26,130,101,1,0
18,17,128,113,1,0
12,6,105,99,1,0
22,17,94,88,1,0
8,20,106,87,1,0
3,20,101,97,1,0
3,11,104,99,1,0
1,22,115,104,1,0
11,21,81,97,0,1
24,15,110,99,1,0
21,28,123,99,1,0
6,10,111,126,0,1
28,6,119,109,1,0
26,7,101,103,0,1
