id_team_h,id_team_v,pts_h,pts_v,w_h,w_v
53,51,108,99,1,0
11,1,114,104,1,0
55,9,108,107,1,0
29,2,96,125,0,1
52,5,112,103,1,0
21,65,80,90,0,1
53,13,81,94,0,1
51,16,105,97,1,0
55,52,114,96,1,0
9,3,123,130,0,1
21,1,101,120,0,1
16,53,118,115,1,0
11,65,94,108,0,1
2,70,114,125,0,1
52,1,112,110,1,0
9,5,97,128,0,1
20,51,131,103,1,0
53,16,100,98,1,0
13,2,132,127,1,0
11,53,114,97,1,0
55,3,119,112,1,0
16,13,110,101,1,0
29,20,121,129,0,1
52,65,98,105,0,1
21,51,98,94,1,0
1,5,96,98,0,1
70,20,122,105,1,0
9,21,114,111,1,0
52,53,123,128,0,1
11,3,132,98,1,0
9,55,116,119,0,1
70,5,104,100,1,0
16,20,106,110,0,1
9,51,121,100,1,0
11,51,141,102,1,0
1,3,135,114,1,0
2,16,112,109,1,0
65,29,102,97,1,0
52,13,99,109,0,1
9,53,121,112,1,0
70,55,117,106,1,0
2,55,124,110,1,0
16,1,115,107,1,0
29,11,116,129,0,1
5,52,111,115,0,1
21,13,98,109,0,1
51,53,108,105,1,0
65,3,118,127,0,1
1,52,134,96,1,0
20,13,110,106,1,0
53,2,115,120,0,1
70,11,116,121,0,1
55,21,107,94,1,0
9,16,102,103,0,1
3,65,101,105,0,1
11,13,123,107,1,0
29,1,121,112,1,0
65,52,112,107,1,0
5,51,126,103,1,0
20,16,111,106,1,0
21,55,114,109,1,0
53,2,111,127,0,1
1,70,115,106,1,0
55,20,134,116,1,0
21,16,133,86,1,0
3,5,91,109,0,1
51,29,116,103,1,0
9,13,116,120,0,1
11,55,162,99,1,0
2,65,112,125,0,1
29,5,107,115,0,1
53,52,115,100,1,0
3,1,105,115,0,1
70,51,136,105,1,0
29,70,120,117,1,0
20,21,160,128,1,0
5,11,104,109,0,1
13,9,111,94,1,0
53,1,111,117,0,1
51,65,114,100,1,0
1,9,107,106,1,0
2,53,113,106,1,0
16,51,123,99,1,0
65,55,101,121,0,1
3,11,124,120,1,0
70,29,135,130,1,0
11,20,112,110,1,0
1,55,118,102,1,0
29,51,112,105,1,0
13,16,131,88,1,0
53,5,99,116,0,1
3,9,119,127,0,1
70,65,132,114,1,0
16,3,98,83,1,0
65,9,85,106,0,1
5,29,121,105,1,0
20,52,118,99,1,0
13,70,119,95,1,0
51,2,116,121,0,1
11,52,124,98,1,0
1,16,120,106,1,0
2,29,133,120,1,0
65,51,119,101,1,0
9,21,131,109,1,0
3,70,122,135,0,1
53,55,115,116,0,1
16,52,113,89,1,0
5,53,95,89,1,0
3,65,90,102,0,1
51,1,109,120,0,1
29,2,108,121,0,1
56,11,94,129,0,1
53,52,100,105,0,1
2,11,112,104,1,0
29,5,100,91,1,0
65,1,115,98,1,0
20,13,105,117,0,1
21,52,84,92,0,1
53,51,101,104,0,1
3,9,108,109,0,1
55,13,77,81,0,1
5,2,88,96,0,1
21,20,120,124,0,1
56,29,113,101,1,0
51,9,113,121,0,1
16,11,125,100,1,0
1,16,109,101,1,0
20,65,107,98,1,0
3,11,83,95,0,1
55,65,97,96,1,0
1,2,115,119,0,1
16,9,103,95,1,0
21,13,111,108,1,0
51,53,122,114,1,0
56,65,83,94,0,1
11,21,126,104,1,0
2,51,126,118,1,0
52,55,92,101,0,1
9,1,120,108,1,0
13,29,109,86,1,0
3,16,89,92,0,1
16,53,111,88,1,0
29,3,103,96,1,0
65,2,101,104,0,1
9,5,97,130,0,1
20,52,129,117,1,0
21,55,97,104,0,1
56,1,108,101,1,0
51,13,63,91,0,1
11,5,104,99,1,0
3,13,84,104,0,1
52,21,120,119,1,0
2,53,105,85,1,0
16,3,123,90,1,0
20,5,106,107,0,1
21,1,110,118,0,1
56,11,94,114,0,1
51,2,97,105,0,1
29,65,105,115,0,1
52,1,115,118,0,1
9,11,107,112,0,1
13,51,109,92,1,0
53,3,108,113,0,1
55,5,93,94,0,1
56,13,107,114,0,1
11,55,91,119,0,1
2,3,123,97,1,0
65,16,88,92,0,1
52,20,120,115,1,0
9,29,130,118,1,0
21,5,95,118,0,1
55,1,122,107,1,0
16,65,94,90,1,0
53,13,92,96,0,1
51,56,102,113,0,1
11,20,133,123,1,0
52,5,94,95,0,1
21,29,111,119,0,1
3,56,115,97,1,0
1,9,105,106,0,1
55,29,112,104,1,0
5,56,104,95,1,0
3,53,126,116,1,0
52,29,106,116,0,1
56,16,85,122,0,1
53,9,104,108,0,1
55,21,118,104,1,0
11,29,116,107,1,0
2,65,109,96,1,0
52,16,80,105,0,1
9,1,108,114,0,1
5,20,115,100,1,0
3,51,124,97,1,0
53,56,101,114,0,1
1,53,128,120,1,0
2,56,107,118,0,1
55,16,127,104,1,0
65,3,108,98,1,0
9,29,118,108,1,0
13,20,104,105,0,1
21,11,120,134,0,1
51,5,101,99,1,0
52,11,115,124,0,1
13,53,131,113,1,0
3,20,106,107,0,1
21,16,95,111,0,1
11,9,122,109,1,0
51,55,91,105,0,1
1,65,109,107,1,0
2,55,128,111,1,0
65,51,126,94,1,0
20,3,107,99,1,0
13,52,116,103,1,0
56,53,125,107,1,0
16,1,101,99,1,0
11,3,118,88,1,0
29,55,121,96,1,0
52,56,106,111,0,1
20,9,115,109,1,0
13,65,120,82,1,0
53,16,106,125,0,1
51,2,104,106,0,1
1,13,111,102,1,0
2,29,121,118,1,0
65,5,106,111,0,1
9,53,112,114,0,1
16,55,102,103,0,1
52,3,107,113,0,1
20,53,119,108,1,0
21,56,102,100,1,0
1,55,105,114,0,1
16,20,103,97,1,0
65,9,104,103,1,0
5,52,97,80,1,0
13,11,92,95,0,1
21,3,100,91,1,0
56,51,106,100,1,0
2,20,113,94,1,0
29,11,99,110,0,1
56,52,106,97,1,0
55,53,128,106,1,0
16,9,119,100,1,0
11,51,103,100,1,0
2,13,88,95,0,1
29,5,109,96,1,0
65,20,117,106,1,0
52,53,105,92,1,0
21,55,105,97,1,0
56,3,115,96,1,0
1,20,126,122,1,0
55,51,120,92,1,0
16,13,87,86,1,0
5,65,95,79,1,0
21,52,100,102,0,1
56,9,127,117,1,0
11,53,135,95,1,0
52,51,107,84,1,0
3,1,109,98,1,0
16,21,108,80,1,0
5,9,113,105,1,0
13,2,102,116,0,1
3,52,98,88,1,0
56,20,101,96,1,0
51,65,88,124,0,1
29,1,113,110,1,0
2,21,126,107,1,0
65,52,112,90,1,0
9,55,132,104,1,0
1,52,110,97,1,0
20,29,128,122,1,0
11,29,140,123,1,0
2,16,114,97,1,0
5,55,100,96,1,0
13,56,115,106,1,0
53,51,96,105,0,1
1,5,99,100,0,1
16,2,97,94,1,0
65,13,91,101,0,1
9,52,114,109,1,0
20,11,109,116,0,1
53,21,106,117,0,1
56,55,114,133,0,1
51,3,90,103,0,1
11,20,112,107,1,0
52,29,103,96,1,0
13,1,108,96,1,0
3,21,102,105,0,1
55,20,110,102,1,0
16,3,107,84,1,0
29,21,120,116,1,0
9,65,90,108,0,1
5,56,91,92,0,1
51,53,94,101,0,1
2,52,120,98,1,0
9,65,102,94,1,0
20,1,109,98,1,0
13,5,105,97,1,0
53,16,91,139,0,1
56,21,110,102,1,0
29,51,127,116,1,0
65,9,103,96,1,0
20,55,115,106,1,0
13,16,100,74,1,0
53,2,99,105,0,1
3,29,113,114,0,1
56,5,97,106,0,1
51,52,93,90,1,0
11,1,109,114,0,1
2,53,131,120,1,0
55,11,103,112,0,1
16,51,119,94,1,0
9,56,109,114,0,1
