id_team_h,id_team_v,w_h,w_v
53,51,1,0
11,1,1,0
55,9,1,0
29,2,0,1
52,5,1,0
21,65,0,1
53,13,0,1
51,16,1,0
55,52,1,0
9,3,0,1
21,1,0,1
16,53,1,0
11,65,0,1
2,70,0,1
52,1,1,0
9,5,0,1
20,51,1,0
53,16,1,0
13,2,1,0
11,53,1,0
55,3,1,0
16,13,1,0
29,20,0,1
52,65,0,1
21,51,1,0
1,5,0,1
70,20,1,0
9,21,1,0
52,53,0,1
11,3,1,0
9,55,0,1
70,5,1,0
16,20,0,1
9,51,1,0
11,51,1,0
1,3,1,0
2,16,1,0
65,29,1,0
52,13,0,1
9,53,1,0
70,55,1,0
2,55,1,0
16,1,1,0
29,11,0,1
5,52,0,1
21,13,0,1
51,53,1,0
65,3,0,1
1,52,1,0
20,13,1,0
53,2,0,1
70,11,0,1
55,21,1,0
9,16,0,1
3,65,0,1
11,13,1,0
29,1,1,0
65,52,1,0
5,51,1,0
20,16,1,0
21,55,1,0
53,2,0,1
1,70,1,0
55,20,1,0
21,16,1,0
3,5,0,1
51,29,1,0
9,13,0,1
11,55,1,0
2,65,0,1
29,5,0,1
53,52,1,0
3,1,0,1
70,51,1,0
29,70,1,0
20,21,1,0
5,11,0,1
13,9,1,0
53,1,0,1
51,65,1,0
1,9,1,0
2,53,1,0
16,51,1,0
65,55,0,1
3,11,1,0
70,29,1,0
11,20,1,0
1,55,1,0
29,51,1,0
13,16,1,0
53,5,0,1
3,9,0,1
70,65,1,0
16,3,1,0
65,9,0,1
5,29,1,0
20,52,1,0
13,70,1,0
51,2,0,1
11,52,1,0
1,16,1,0
2,29,1,0
65,51,1,0
9,21,1,0
3,70,0,1
53,55,0,1
16,52,1,0
5,53,1,0
3,65,0,1
51,1,0,1
29,2,0,1
56,11,0,1
53,52,0,1
2,11,1,0
29,5,1,0
65,1,1,0
20,13,0,1
21,52,0,1
53,51,0,1
3,9,0,1
55,13,0,1
5,2,0,1
21,20,0,1
56,29,1,0
51,9,0,1
16,11,1,0
1,16,1,0
20,65,1,0
3,11,0,1
55,65,1,0
1,2,0,1
16,9,1,0
21,13,1,0
51,53,1,0
56,65,0,1
11,21,1,0
2,51,1,0
52,55,0,1
9,1,1,0
13,29,1,0
3,16,0,1
16,53,1,0
29,3,1,0
65,2,0,1
9,5,0,1
20,52,1,0
21,55,0,1
56,1,1,0
51,13,0,1
11,5,1,0
3,13,0,1
52,21,1,0
2,53,1,0
16,3,1,0
20,5,0,1
21,1,0,1
56,11,0,1
51,2,0,1
29,65,0,1
52,1,0,1
9,11,0,1
13,51,1,0
53,3,0,1
55,5,0,1
56,13,0,1
11,55,0,1
2,3,1,0
65,16,0,1
52,20,1,0
9,29,1,0
21,5,0,1
55,1,1,0
16,65,1,0
53,13,0,1
