id_team_h,id_team_v,pts_h,pts_v,w_h,w_v
31,16,66,68,0,1
32,37,56,51,1,0
33,16,63,47,1,0
34,2,59,53,1,0
35,28,33,50,0,1
36,31,71,60,1,0
37,28,56,71,0,1
2,33,55,57,0,1
35,32,49,53,0,1
38,37,81,75,1,0
32,16,63,68,0,1
34,33,73,65,1,0
31,35,73,71,1,0
34,37,76,66,1,0
33,31,64,54,1,0
35,2,69,46,1,0
32,28,70,69,1,0
36,28,92,68,1,0
16,33,68,78,0,1
37,34,84,71,1,0
33,2,71,61,1,0
35,34,68,70,0,1
38,28,68,65,1,0
32,2,64,62,1,0
31,34,85,68,1,0
2,31,53,49,1,0
16,37,64,62,1,0
34,35,59,70,0,1
33,28,65,73,0,1
32,36,83,74,1,0
36,33,76,78,0,1
16,35,61,57,1,0
37,31,54,48,1,0
38,32,63,66,0,1
31,36,72,74,0,1
16,33,72,69,1,0
28,32,54,51,1,0
35,37,53,54,0,1
2,32,53,65,0,1
38,33,63,65,0,1
34,28,58,66,0,1
31,2,83,82,1,0
28,31,74,50,1,0
35,2,54,46,1,0
34,32,59,65,0,1
16,36,82,76,1,0
33,35,55,68,0,1
36,37,62,60,1,0
2,34,59,71,0,1
37,16,46,62,0,1
38,2,66,54,1,0
31,28,68,78,0,1
35,36,66,46,1,0
16,32,67,60,1,0
28,33,75,67,1,0
37,36,62,60,1,0
2,37,59,55,1,0
38,35,55,68,0,1
33,32,72,75,0,1
34,16,58,60,0,1
31,36,72,87,0,1
16,38,64,60,1,0
34,31,79,65,1,0
28,37,49,40,1,0
32,35,60,57,1,0
33,2,66,56,1,0
36,35,49,47,1,0
37,2,44,46,0,1
38,34,76,68,1,0
16,35,70,57,1,0
28,34,80,62,1,0
37,33,46,57,0,1
2,35,61,65,0,1
38,16,62,51,1,0
32,37,66,55,1,0
33,31,61,65,0,1
2,16,65,90,0,1
34,31,59,68,0,1
28,35,75,64,1,0
33,36,86,78,1,0
32,38,47,57,0,1
16,2,62,44,1,0
36,38,72,66,1,0
37,35,58,66,0,1
31,38,73,85,0,1
36,32,61,62,0,1
16,34,83,68,1,0
33,36,88,79,1,0
28,35,81,66,1,0
2,35,73,66,1,0
38,28,49,64,0,1
32,33,68,88,0,1
31,37,52,62,0,1
2,38,77,65,1,0
28,36,72,52,1,0
34,35,81,66,1,0
33,37,84,75,1,0
32,31,46,50,0,1
36,16,70,52,1,0
37,32,55,66,0,1
38,35,57,49,1,0
36,31,78,62,1,0
16,36,53,56,0,1
28,32,68,47,1,0
2,32,74,76,0,1
38,36,58,44,1,0
34,33,81,77,1,0
31,16,74,70,1,0
28,38,68,56,1,0
34,16,63,61,1,0
33,35,95,92,1,0
32,2,65,53,1,0
36,37,74,78,0,1
37,2,64,54,1,0
38,37,53,46,1,0
34,28,66,78,0,1
32,35,55,51,1,0
2,38,60,63,0,1
31,33,80,88,0,1
34,2,80,68,1,0
28,16,70,49,1,0
32,38,75,68,1,0
35,31,48,52,0,1
36,33,79,87,0,1
37,38,60,62,0,1
2,28,60,70,0,1
36,32,59,68,0,1
31,33,87,76,1,0
33,32,90,103,0,1
37,36,48,61,0,1
35,28,62,57,1,0
38,34,84,72,1,0
32,28,66,57,1,0
31,2,53,58,0,1
