id_team_h,id_team_v,w_h,w_v
31,16,0,1
32,37,1,0
33,16,1,0
34,2,1,0
35,28,0,1
36,31,1,0
37,28,0,1
2,33,0,1
35,32,0,1
38,37,1,0
32,16,0,1
34,33,1,0
31,35,1,0
34,37,1,0
33,31,1,0
35,2,1,0
32,28,1,0
36,28,1,0
16,33,0,1
37,34,1,0
33,2,1,0
35,34,0,1
38,28,1,0
32,2,1,0
31,34,1,0
2,31,1,0
16,37,1,0
34,35,0,1
33,28,0,1
32,36,1,0
36,33,0,1
16,35,1,0
37,31,1,0
38,32,0,1
31,36,0,1
16,33,1,0
28,32,1,0
35,37,0,1
2,32,0,1
38,33,0,1
34,28,0,1
31,2,1,0
28,31,1,0
35,2,1,0
34,32,0,1
16,36,1,0
33,35,0,1
36,37,1,0
2,34,0,1
37,16,0,1
38,2,1,0
31,28,0,1
35,36,1,0
16,32,1,0
28,33,1,0
37,36,1,0
2,37,1,0
38,35,0,1
33,32,0,1
34,16,0,1
31,36,0,1
16,38,1,0
34,31,1,0
28,37,1,0
32,35,1,0
33,2,1,0
36,35,1,0
37,2,0,1
38,34,1,0
16,35,1,0
28,34,1,0
37,33,0,1
2,35,0,1
38,16,1,0
32,37,1,0
33,31,0,1
2,16,0,1
34,31,0,1
28,35,1,0
33,36,1,0
32,38,0,1
16,2,1,0
36,38,1,0
37,35,0,1
31,38,0,1
36,32,0,1
16,34,1,0
33,36,1,0
28,35,1,0
2,35,1,0
38,28,0,1
32,33,0,1
31,37,0,1
2,38,1,0
28,36,1,0
34,35,1,0
33,37,1,0
32,31,0,1
36,16,1,0
37,32,0,1
38,35,1,0
36,31,1,0
16,36,0,1
28,32,1,0
2,32,0,1
38,36,1,0
34,33,1,0
31,16,1,0
28,38,1,0
34,16,1,0
33,35,1,0
32,2,1,0
36,37,0,1
37,2,1,0
38,37,1,0
34,28,0,1
32,35,1,0
2,38,0,1
31,33,0,1
34,2,1,0
28,16,1,0
32,38,1,0
35,31,0,1
36,33,0,1
37,38,0,1
2,28,0,1
36,32,0,1
31,33,1,0
33,32,0,1
37,36,0,1
35,28,1,0
38,34,1,0
32,28,1,0
31,2,0,1
34,38,1,0
28,36,1,0
35,16,0,1
32,16,0,1
2,36,0,1
37,28,0,1
31,35,1,0
16,31,0,1
28,34,1,0
37,38,1,0
35,33,0,1
38,31,1,0
34,36,1,0
32,33,1,0
2,16,1,0
28,31,1,0
34,2,0,1
35,38,1,0
33,38,1,0
32,37,1,0
37,16,0,1
36,34,0,1
31,38,0,1
16,28,0,1
37,34,1,0
35,33,1,0
2,28,1,0
38,33,0,1
32,36,0,1
31,35,0,1
16,2,0,1
28,33,1,0
32,34,1,0
36,16,1,0
2,33,0,1
37,35,1,0
38,2,1,0
31,32,1,0
16,33,1,0
28,38,1,0
35,36,0,1
2,37,1,0
33,34,1,0
38,36,1,0
31,34,0,1
16,2,0,1
28,37,1,0
35,38,0,1
32,35,1,0
33,38,1,0
2,28,0,1
37,34,1,0
31,36,0,1
36,31,1,0
16,37,1,0
28,2,1,0
35,34,0,1
2,37,1,0
38,16,1,0
32,34,0,1
31,28,1,0
